# Output of measure_polarization run on source RBPLJ0114+1325 JD=2456526.5452050 model used 2014_04_30
# CROTA=179.48 CROTA_ERR=0.12 git_revision=bd042884e903f0fef9dba90b4af7840ebf051f59
# x coord, y coord, RA [deg], Dec [deg], p, sigma_p, theta [rad], sigma_theta, q, sigma_q, u, sigma_u, Mask edge, Nphotons, sigma_Nphotons, photometry OK, Rmag1, sigma_Rmag1, Rmag2, sigma_Rmag2, RmagPTF, sigma_RmagPTF, RmagST, sigma_RmagST, SE_flag, nearb_obj_flag
1318.9, 815.8, 18.68312, 13.45228, 0.04087, 0.00059, 1.3350, 0.0072, -0.03641, 0.00060, 0.01857, 0.00059, 0, 7873771.15, 3334.36,  0, 13.55806, 0.03355, 13.26373, 0.02797, 13.13123, 0.06371,    nan,    nan, 0, 0
1759.2, 1853.5, 18.63048, 13.33005, 0.01065, 0.01273, -0.8137, 1.0133, -0.00060, 0.02161, -0.01063, 0.01269, 1, 324915.22, 4222.77,  1, 16.63410, 0.09568, 16.29057, 0.07686, 16.53010, 0.13528,    nan,    nan, 0, 0
1377.8, 1843.1, 18.67672, 13.33132, 0.00381, 0.00032, 0.7041, 0.0484, 0.00062, 0.00037, 0.00376, 0.00032, 1, 25418650.66, 6287.27,  0, 12.29946, 0.03355, 12.00728, 0.02802, 11.86070, 0.06361,    nan,    nan, 16, 0
1861.7, 223.4, 18.61725, 13.52243, 0.00439, 0.00429, 1.4687, 0.2628, -0.00430, 0.00436, 0.00089, 0.00217, 1, 1905995.63, 4677.76,  0, 15.03766, 0.03818, 14.73422, 0.03160, 14.66279, 0.06682,    nan,    nan, 3, 1
878.2, 1858.3, 18.73773, 13.32987, 0.00386, 0.00216, -1.0284, 0.2643, -0.00180, 0.00200, -0.00341, 0.00220, 1, 2541984.66, 3759.85,  0, 14.74465, 0.03596, 14.44410, 0.02983, 14.35299, 0.06533,    nan,    nan, 3, 0
1527.8, 326.6, 18.65744, 13.51038, 0.01093, 0.00175, -1.3136, 0.0681, -0.00952, 0.00186, -0.00538, 0.00135, 1, 3716817.21, 4356.52,  1, 14.35107, 0.03444, 14.05336, 0.02863, 13.94318, 0.06434,    nan,    nan, 0, 0
217.5, 541.4, 18.81743, 13.48687, 0.09745, 0.02486, -0.8831, 0.0804, -0.01892, 0.01518, -0.09559, 0.02516, 1, 292226.09, 4352.36,  1, 16.71205, 0.10199, 16.36472, 0.08171, 16.63821, 0.14609,    nan,    nan, 0, 0
1335.4, 465.1, 18.68079, 13.49403, 0.01672, 0.01294, 1.5355, 0.3248, -0.01668, 0.01294, 0.00118, 0.01085, 1, 436081.77, 3734.49,  0, 16.40440, 0.07966, 16.07066, 0.06443, 16.22679, 0.11075,    nan,    nan, 3, 0
1800.4, 486.4, 18.62479, 13.49107, 0.00359, 0.01363, -0.2520, 1.3807, 0.00314, 0.01497, -0.00173, 0.00773, 1, 520758.55, 4439.55,  1, 16.25716, 0.07134, 15.92872, 0.05796, 16.04190, 0.09961,    nan,    nan, 0, 0
1843.1, 560.6, 18.61972, 13.48221, 0.00929, 0.00329, 0.7624, 0.3491, 0.00043, 0.00649, 0.00928, 0.00328, 1, 1260323.16, 4644.42,  1, 15.44766, 0.04387, 15.13864, 0.03616, 15.10613, 0.07107,    nan,    nan, 0, 0
1531.1, 594.5, 18.65727, 13.47840, 0.02438, 0.02478, 1.1961, 0.4961, -0.01785, 0.02828, 0.01661, 0.01999, 1, 222691.11, 3948.37,  1, 16.89921, 0.11896, 16.54163, 0.09456, 16.91173, 0.17883,    nan,    nan, 0, 0
339.7, 726.1, 18.80264, 13.46450, 0.02543, 0.00838, 1.3715, 0.2357, -0.02344, 0.00737, 0.00987, 0.01263, 1, 591617.04, 4219.08,  0, 16.14765, 0.06585, 15.82273, 0.05363, 15.90821, 0.09290,    nan,    nan, 5, 0
468.1, 752.6, 18.78688, 13.46107, 0.00389, 0.00020, -0.1195, 0.0332, 0.00378, 0.00020, -0.00092, 0.00026, 1, 52660719.27, 8550.87,  0, 11.51185, 0.03361, 11.22019, 0.02809, 11.07031, 0.06361,    nan,    nan, 18, 0
653.9, 1444.2, 18.76487, 13.37873, 0.00620, 0.00986, 1.1449, 0.7695, -0.00408, 0.00842, 0.00467, 0.01083, 1, 550992.25, 3742.33,  1, 16.20908, 0.06877, 15.88223, 0.05591, 15.98283, 0.09643,    nan,    nan, 0, 0
1191.9, 1718.8, 18.69927, 13.34595, 0.02215, 0.00516, -0.6220, 0.1231, 0.00711, 0.00549, -0.02097, 0.00512, 1, 963085.58, 3638.52,  1, 15.70527, 0.04968, 15.39153, 0.04079, 15.39294, 0.07603,    nan,    nan, 0, 0
